#Wavelength	Counts
1596242	2163
1596106	2073
1595969	2113
1595832	2066
1595695	2115
1595558	2056
1595421	2122
1595284	2047
1595146	2124
1595009	2055
1594871	2117
1594733	2062
1594595	2124
1594457	2055
1594319	2123
1594181	2077
1594042	2119
1593904	2071
1593765	2116
1593626	2074
1593487	2113
1593348	2054
1593209	2115
1593070	2055
1592930	2118
1592790	2064
1592651	2119
1592511	2057
1592371	2120
1592231	2070
1592091	2127
1591950	2064
1591810	2116
1591669	2073
1591529	2115
1591388	2077
1591247	2112
1591106	2074
1590965	2112
1590823	2059
1590682	2106
1590540	2068
1590399	2118
1590257	2065
1590115	2117
1589973	2078
1589830	2107
1589688	2062
1589546	2119
1589403	2052
1589260	2112
1589118	2053
1588975	2103
1588832	2074
1588688	2124
1588545	2071
1588402	2108
1588258	2061
1588114	2120
1587970	2060
1587826	2110
1587682	2058
1587538	2116
1587394	2065
1587249	2114
1587105	2059
1586960	2110
1586815	2065
1586670	2109
1586525	2075
1586380	2128
1586235	2074
1586089	2111
1585944	2060
1585798	2111
1585652	2068
1585506	2112
1585360	2062
1585214	2111
1585067	2054
1584921	2103
1584774	2059
1584628	2112
1584481	2072
1584334	2117
1584187	2065
1584040	2105
1583892	2068
1583745	2123
1583597	2061
1583449	2114
1583302	2059
1583154	2106
1583005	2071
1582857	2126
1582709	2073
1582560	2122
1582412	2066
1582263	2115
1582114	2062
1581965	2110
1581816	2066
1581667	2113
1581518	2063
1581368	2107
1581218	2073
1581069	2121
1580919	2069
1580769	2119
1580619	2067
1580468	2117
1580318	2051
1580168	2112
1580017	2058
1579866	2097
1579715	2059
1579564	2109
1579413	2077
1579262	2112
1579111	2072
1578959	2100
1578808	2076
1578656	2129
1578504	2058
1578352	2104
1578200	2060
1578047	2115
1577895	2061
1577743	2106
1577590	2060
1577437	2106
1577284	2061
1577131	2116
1576978	2055
1576825	2129
1576671	2065
1576518	2120
1576364	2060
1576210	2103
1576057	2048
1575902	2102
1575748	2059
1575594	2107
1575440	2052
1575285	2115
1575130	2052
1574976	2113
1574821	2062
1574666	2119
1574510	2059
1574355	2120
1574200	2050
1574044	2113
1573889	2060
1573733	2110
1573577	2048
1573421	2105
1573265	2050
1573108	2110
1572952	2063
1572795	2118
1572638	2074
1572482	2116
1572325	2055
1572168	2120
1572010	2062
1571853	2113
1571696	2060
1571538	2117
1571380	2067
1571222	2101
1571064	2048
1570906	2111
1570748	2073
1570590	2114
1570431	2045
1570273	2124
1570114	2059
1569955	2125
1569796	2054
1569637	2119
1569478	2073
1569318	2113
1569159	2050
1568999	2116
1568840	2051
1568680	2120
1568520	2064
1568359	2116
1568199	2058
1568039	2116
1567878	2053
1567718	2113
1567557	2049
1567396	2112
1567235	2050
1567074	2116
1566912	2064
1566751	2129
1566590	2086
1566428	2137
1566266	2074
1566104	2144
1565942	2089
1565780	2148
1565618	2089
1565455	2159
1565293	2095
1565130	2161
1564967	2097
1564804	2162
1564641	2102
1564478	2151
1564314	2109
1564151	2161
1563987	2103
